base_tx_name,avg,median,stdDev,max,min
app_input,17075.793457737094,17076,5.651821963764047,17103,17052
app_read,11498.114886262227,6753,7062.233203369919,22029,6725
dlt_read,2993.736108626258,2994,5.082254773859966,3016,2972
dlt_write,4641.889501019433,4642,5.235656335674128,4665,4620
dltview_read,1345.650355206664,1346.0,4.945603264733434,1370,1322
dms_docDown,3340.7673080489276,3341,4.85099468798858,3362,3318
dms_docUpl,3516.0214459283816,3516.0,4.8475969602756654,3536,3496
dbms_write,363.67593809005854,364,4.229311142098566,383,346
dbms_read,461.89766119045265,462,4.411229794484108,481,443
